Kod,Nazev,Kategorie
A851,Adenovirová encefalitida (G05.1*),Infekční onemocnění nervové soustavy
A852,Virová encefalitida přenášená členovci NS,Infekční onemocnění nervové soustavy
A858,Jiná určená virová encefalitida,Infekční onemocnění nervové soustavy
A86,Neurčená virová encefalitida,Infekční onemocnění nervové soustavy
A87,Virová meningitida,
A870,Enterovirová meningitida (G02.0*),Infekční onemocnění nervové soustavy
A871,Adenovirová meningitida (G02.0*),Infekční onemocnění nervové soustavy
A872,Lymfocytární choriomeningitida,Infekční onemocnění nervové soustavy
A878,Jiné virové meningitidy,Infekční onemocnění nervové soustavy
A879,Virová meningitida NS,Infekční onemocnění nervové soustavy
A88,Jiné virové infekce centrální nervové soustavy nezařazené jinde,
A880,Enterovirová exantémová horečka (bostonská vyrážka),Infekční onemocnění nervové soustavy
A881,Epidemické vertigo,Infekční onemocnění nervové soustavy
A888,Jiné určené virové infekce centrální nervové soustavy,Infekční onemocnění nervové soustavy
A89,Neurčená virová infekce centrální nervové soustavy,Infekční onemocnění nervové soustavy
A92,Jiná virová horečka přenášená komáry,
A920,Virová nemoc Chikungunya,Infekční a parazitární nemoci nezařazené jinde
A921,Horečka o'nyong-nyong,Infekční a parazitární nemoci nezařazené jinde
A922,Venezuelská koňská horečka,Infekční onemocnění nervové soustavy
A923,Západonilská virová infekce,Infekční a parazitární nemoci nezařazené jinde
A924,Horečka Rift Valley,Infekční a parazitární nemoci nezařazené jinde
A925,Onemocnění virem Zika,Infekční a parazitární nemoci nezařazené jinde
A928,Jiná určená virová horečka přenášená komáry,Infekční a parazitární nemoci nezařazené jinde
A929,Virová horečka přenášená komáry NS,Infekční a parazitární nemoci nezařazené jinde
A93,Jiné virové horečky přenášené členovci nezařazené jinde,
A930,Virová nemoc Oropouche,Infekční a parazitární nemoci nezařazené jinde
A931,Horečka přenášená písečnými mouchami [Sandfly fever],Infekční a parazitární nemoci nezařazené jinde
A932,Coloradská klíšťová horečka,Infekční a parazitární nemoci nezařazené jinde
A938,Jiná určená virová horečka přenášená členovci,Infekční a parazitární nemoci nezařazené jinde
A94,Neurčená virová horečka přenášená členovci,Infekční a parazitární nemoci nezařazené jinde
A95,Žlutá zimnice,
A950,Sylvatická (lesní) žlutá zimnice,Infekční a parazitární nemoci nezařazené jinde
A951,Urbánní (městská) žlutá zimnice,Infekční a parazitární nemoci nezařazené jinde
A959,Žlutá zimnice NS,Infekční a parazitární nemoci nezařazené jinde
A96,"Hemoragická horečka, původce: Arenavirus",
A960,"Hemoragická horečka, původce: Junin",Infekční a parazitární nemoci nezařazené jinde
A961,"Hemoragická horečka, původce: virus Machupo",Infekční a parazitární nemoci nezařazené jinde
A962,Horečka Lassa,Infekční a parazitární nemoci nezařazené jinde
A968,"Jiná hemoragická horečka, původce: Arenavirus",Infekční a parazitární nemoci nezařazené jinde
A969,"Hemoragická horečka, původce: Arenavirus NS",Infekční a parazitární nemoci nezařazené jinde
A97,Dengue,
A970,Dengue bez varovných příznaků,Infekční a parazitární nemoci nezařazené jinde
A971,Dengue s varovnými příznaky,Infekční a parazitární nemoci nezařazené jinde
A972,Těžká forma dengue,Sepse
A979,Dengue NS,Infekční a parazitární nemoci nezařazené jinde
A98,Jiná virová hemoragická horečka nezařazená jinde,
A980,Krymská a konžská hemoragická horečka,Infekční a parazitární nemoci nezařazené jinde
A981,Omská hemoragická horečka,Infekční a parazitární nemoci nezařazené jinde
A982,Kyasanurská pralesní nemoc,Infekční a parazitární nemoci nezařazené jinde
A983,Marburgská nemoc,Infekční a parazitární nemoci nezařazené jinde
A984,Horečka ebola,Infekční a parazitární nemoci nezařazené jinde
A985,Hemoragická horečka s renálním syndromem,Sepse
A988,Jiná určená virová hemoragická horečka,Infekční a parazitární nemoci nezařazené jinde
A99,Neurčená virová hemoragická horečka,Infekční a parazitární nemoci nezařazené jinde
B00,Infekce virem Herpes simplex,
B000,Herpetický ekzém,Onemocnění kůže způsobená mikroorganismy a parazity
B001,Vezikulární dermatitida‚ původce: virus Herpes simplex,Onemocnění kůže způsobená mikroorganismy a parazity
B002,Herp. gingivostomatit. a faryngotonsilit.‚ pův.: virus Herpes simplex,"Záněty horních cest dýchacích, hltanu a hrtanu"
B003,Herpetická meningitida (G02.0*)‚ původce: virus Herpes simplex,Infekční onemocnění nervové soustavy
B004,Herpetická encefalitida (G05.1*)‚ původce: virus Herpes simplex,Infekční onemocnění nervové soustavy
B005,Oční onemocnění‚ původce: virus Herpes simplex,Zánětlivá onemocnění oka
B007,Diseminované herpetické onemocnění‚ původce: virus Herpes simplex,Sepse
B008,Jiné formy herpetické infekce‚ původce: virus Herpes simplex,Onemocnění kůže způsobená mikroorganismy a parazity
B009,"Infekční onemocnění, původce: virus Herpes simplex NS",Onemocnění kůže způsobená mikroorganismy a parazity
B01,Plané neštovice [varicella],
B010,Varicelová meningitida (G02.0*),Infekční onemocnění nervové soustavy
B011,Varicelová encefalitida (G05.1*),Infekční onemocnění nervové soustavy
B012,Varicelová pneumonie (J17.1*),Záněty plic
B018,Varicella s jinými komplikacemi,Infekční a parazitární nemoci nezařazené jinde
B019,Varicella bez komplikace,Infekční a parazitární nemoci nezařazené jinde
B02,Pásový opar [herpes zoster],
B020,"Encefalitida (G05.1*), původce: virus varicella–zoster",Infekční onemocnění nervové soustavy
B021,"Meningitida (G02.0*), původce: virus varicella–zoster",Infekční onemocnění nervové soustavy
B022,Herpes zoster s jiným postižením nervové soustavy,Infekční onemocnění nervové soustavy
B023,"Oční onemocnění, původce: virus varicella–zoster",Zánětlivá onemocnění oka
B027,Generalizovaný (diseminovaný) Herpes zoster,Infekční a parazitární nemoci nezařazené jinde
B028,Herpes zoster s jinými komplikacemi,Infekční a parazitární nemoci nezařazené jinde
B029,Herpes zoster bez komplikací,Onemocnění kůže způsobená mikroorganismy a parazity
B03,Pravé neštovice – černé neštovice [variola],Infekční a parazitární nemoci nezařazené jinde
B04,Opičí neštovice,Infekční a parazitární nemoci nezařazené jinde
B05,Spalničky,
B050,Spalničky komplikované encefalitidou (G05.1*),Infekční onemocnění nervové soustavy
B051,Spalničky komplikované meningitidou (G02.0*),Infekční onemocnění nervové soustavy
B052,Spalničky komplikované pneumonií (J17.1*),Záněty plic
B053,Spalničky komplikované zánětem středního ucha (H67.1*),Záněty ucha
B054,Spalničky se střevními komplikacemi,Střevní infekční nemoci
B058,Spalničky s jinými komplikacemi,Infekční a parazitární nemoci nezařazené jinde
B059,Spalničky bez komplikací,Infekční a parazitární nemoci nezařazené jinde
B06,Zarděnky [rubeola],
B060,Zarděnky s neurologickými komplikacemi,Infekční onemocnění nervové soustavy
B068,Zarděnky s jinými komplikacemi,Infekční a parazitární nemoci nezařazené jinde
B069,Zarděnky bez komplikací,Infekční a parazitární nemoci nezařazené jinde
B07,Virové bradavice,Onemocnění kůže způsobená mikroorganismy a parazity
B08,Jiné virové infekce charakterizované postižením kůže a sliznic NJ,
B080,"Jiné infekce, původce: virus rodu Orthopoxvirus",Infekční a parazitární nemoci nezařazené jinde
B081,Molluscum contagiosum,Onemocnění kůže způsobená mikroorganismy a parazity
B082,Exanthema subitum (šestá nemoc),Infekční a parazitární nemoci nezařazené jinde
B083,Erythema infectiosum (pátá nemoc),Infekční a parazitární nemoci nezařazené jinde
B084,Enterovirová vezikulární stomatitida s exantémem,Infekční a parazitární nemoci nezařazené jinde
B085,Enterovirová vezikulární faryngitida,"Záněty horních cest dýchacích, hltanu a hrtanu"
B088,Jiné určené infekce charakterizované kožními a slizničními lézemi,Infekční a parazitární nemoci nezařazené jinde
B09,Neurčené virové infekce charakterizované postižením kůže a sliznic,Infekční a parazitární nemoci nezařazené jinde
B15,Akutní hepatitida A,
B150,Hepatitida A s hepatálním kómatem,Zánět a selhání jater
B159,Hepatitida A bez hepatálního kómatu,Zánět a selhání jater
B16,Akutní hepatitida B,
B160,Akutní hepatitida B s Delta agens (koinfekce) s hepatálním kómatem,Zánět a selhání jater
B161,Akutní hepatitida B s Delta agens (koinfekce) bez hepatálního kómatu,Zánět a selhání jater
B162,Akutní hepatitida B bez Delta agens s hepatálním kómatem,Zánět a selhání jater
B169,Akutní hepatitida B bez Delta agens a bez hepatálního kómatu,Zánět a selhání jater
B17,Jiná akutní virová hepatitida,
B170,Akutní Delta-(super) infekce při chronické hepatitidě B,Zánět a selhání jater
B171,Akutní hepatitida C,Zánět a selhání jater
B172,Akutní hepatitida E,Zánět a selhání jater
B178,Jiná určená akutní virová hepatitida,Zánět a selhání jater
B179,Akutní virová hepatitida NS,Zánět a selhání jater
B18,Chronická virová hepatitida,
B180,Chronická virová hepatitida B s Delta agens,
B1800,Chronická virová hepatitida B s Delta agens; fáze imunotolerance,Zánět a selhání jater
B1809,Chronická virová hepatitida B s Delta agens; jiná a neurčená fáze,Zánět a selhání jater
B181,Chronická virová hepatitida B bez Delta agens,
B1810,Chronická virová hepatitida B bez Delta agens; fáze imunotolerance,Zánět a selhání jater
B1819,Chronická virová hepatitida B bez Delta agens; jiná a neurčená fáze,Zánět a selhání jater
B182,Chronická virová hepatitida C,Zánět a selhání jater
B188,Jiná chronická virová hepatitida,Zánět a selhání jater
B189,Chronická virová hepatitida NS,Zánět a selhání jater
B19,Neurčená virová hepatitida,
B190,Neurčená virová hepatitida s hepatálním kómatem,Zánět a selhání jater
B199,Neurčená virová hepatitida bez hepatálního kómatu,Zánět a selhání jater
B20,"Onemocnění HIV, mající za následek infekční a parazitární nemoci",
B200,"Onemocnění HIV, mající za následek mykobakteriální infekce",Infekční a parazitární nemoci nezařazené jinde
B201,"Onemocnění HIV, mající za následek jiné bakteriální infekce",Infekční a parazitární nemoci nezařazené jinde
B202,"Onemocnění HIV, mající za následek onemocnění způs. Cytomegalovirem",Infekční a parazitární nemoci nezařazené jinde
B203,"Onemocnění HIV, mající za následek jiné virové infekce",Infekční a parazitární nemoci nezařazené jinde
B204,"Onemocnění HIV, mající za následek onemocnění způs. Candidou albicans",Infekční a parazitární nemoci nezařazené jinde
B205,"Onemocnění HIV, mající za následek jiné mykózy",Infekční a parazitární nemoci nezařazené jinde
B206,Onemocnění HIV s pneumonií způsobenou Pneumocystis jiroveci [carinii],Záněty plic
B207,"Onemocnění HIV, mající za následek mnohočetné infekce",Infekční a parazitární nemoci nezařazené jinde
B208,"Onem. HIV, mající za následek jiné určené infekční a parazitární onem.",Infekční a parazitární nemoci nezařazené jinde
B209,"Onem. HIV, mající za následek neurčené infekční nebo parazitární onem.",Infekční a parazitární nemoci nezařazené jinde
B21,"Onemocnění HIV, mající za následek zhoubný novotvar",
B210,"Onemocnění HIV, mající za následek Kaposiho sarkom",Zhoubný novotvar kůže mimo melanom
B211,"Onemocnění HIV, mající za následek Burkittův lymfom",Non-Hodgkinův lymfom
B212,"Onemocnění HIV, mající za následek jiný typ non-Hodgkinského lymfomu",Non-Hodgkinův lymfom
B213,"Onem. HIV, následek: jiné ZN lymfatické‚ krvetvorné a příbuzné tkáně",Jiné myeloproliferativní poruchy a novotvary
B217,"Onemocnění HIV, mající za následek mnohočetné zhoubné novotvary","Novotvary neznámé, nepřesně určené a jinde nezařazené lokalizace"
B218,"Onemocnění HIV, mající za následek jiné zhoubné novotvary","Novotvary neznámé, nepřesně určené a jinde nezařazené lokalizace"
B219,"Onemocnění HIV, mající za následek neurčené zhoubné novotvary","Novotvary neznámé, nepřesně určené a jinde nezařazené lokalizace"
B22,"Onemocnění HIV, mající za následek jiná určená onemocnění",
B220,"Onemocnění HIV, mající za následek encefalopatií",Jiná onemocnění a poruchy nervové soustavy
B221,"Onemocnění HIV, mající za následek lymfoidní intersticiální pneumonií",Záněty plic
B222,"Onemocnění HIV, mající za následek syndrom chátrání [wasting syndrome]",Infekční a parazitární nemoci nezařazené jinde
B227,"Onem. HIV, mající za následek mnohočetná onemocnění zařazená jinde",Infekční a parazitární nemoci nezařazené jinde
B23,"Onemocnění HIV, mající za následek jiné stavy",
B230,Syndrom akutní infekce HIV,Infekční a parazitární nemoci nezařazené jinde
B231,Onemocnění HIV s přetrvávající lymfadenopatií,Zvětšení a zánět mízních uzlin
B232,Onemocnění HIV s hematologickými a imunologickými abnormalitami NJ,Infekční a parazitární nemoci nezařazené jinde
B238,"Onemocnění HIV, mající za následek jiné určené stavy",Infekční a parazitární nemoci nezařazené jinde
B24,Neurčené onemocnění virem lidské imunodeficience [HIV],Infekční a parazitární nemoci nezařazené jinde
B25,Cytomegalovirová nemoc,
B250,Cytomegalovirová pneumonie (J17.1*),Záněty plic
B251,Cytomegalovirová hepatitida (K77.0*),Zánět a selhání jater
B252,Cytomegalovirová pankreatitida (K87.1*),Akutní zánět slinivky břišní
B258,Jiná cytomegalovirová nemoc,Sepse
B259,Cytomegalovirová nemoc NS,Sepse
B26,Příušnice [parotitis epidemica],
B260,Parotitická orchitida (N51.1*),Záněty mužské reprodukční soustavy
B261,Parotitická meningitida (G02.0*),Infekční onemocnění nervové soustavy
B262,Parotitická encefalitida (G05.1*),Infekční onemocnění nervové soustavy
B263,Parotitická pankreatitida (K87.1*),Akutní zánět slinivky břišní
B268,Epidemická parotitida s jinými komplikacemi,Infekční a parazitární nemoci nezařazené jinde
B269,Epidemická parotitida bez komplikací,Infekční a parazitární nemoci nezařazené jinde
B27,Infekční mononukleóza,
B270,"Mononukleóza, původce: gamma Herpes virus 4",Infekční a parazitární nemoci nezařazené jinde
B271,"Mononukleóza, původce: Cytomegalovirus",Infekční a parazitární nemoci nezařazené jinde
B278,Jiná infekční mononukleóza,Infekční a parazitární nemoci nezařazené jinde
B279,Infekční mononukleóza NS,Infekční a parazitární nemoci nezařazené jinde
B30,Virová konjunktivitida,
